track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Year
Shake It,Metro Station,53,Metro Station,68,0.618,0.955,-3.836,4,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,2019
Chinese New Year,SALES,61,SALES - EP,53,0.744,0.845,-7.422,4,0.253,0.759,0.232,0.1,0.749,75.221,2019
Baby I'm Yours,Breakbot,57,By Your Side,69,0.829,0.792,-3.755,2,0.0668,0.726,5.83e-06,0.122,0.758,118.05,2019
The Git Up,Blanco Brown,60,The Git Up,2,0.847,0.678,-8.635,9,0.109,0.0669,0.0,0.274,0.811,97.984,2019
Say Hey (I Love You),Michael Franti & Spearhead,58,All Rebel Rockers,0,0.738,0.983,-4.374,5,0.0855,0.038,5.93e-06,0.183,0.957,92.998,2019
Falling for U,Peachy!,57,Falling for U,1,0.516,0.358,-12.018,8,0.424,0.743,1.3e-06,0.0813,0.397,79.509,2019
Shooting Stars,Bag Raiders,53,Bag Raiders (Deluxe),0,0.649,0.716,-6.232,11,0.0445,0.0879,0.03,0.0824,0.503,124.968,2019
fast,Sueco,65,fast,0,0.877,0.503,-10.269,7,0.22,0.164,0.0132,0.102,0.529,100.069,2019
On A Roll,Ashley O,43,On A Roll,58,0.736,0.81,-6.354,5,0.0906,0.077,0.0,0.0523,0.387,125.011,2019
Good Girls Bad Guys,Falling In Reverse,70,The Drug In Me Is You,64,0.474,0.948,-2.592,3,0.122,0.0223,0.0,0.43,0.611,146.46,2019
Just Did a Bad Thing,Bill Wurtz,43,Just Did a Bad Thing,43,0.754,0.526,-12.96,1,0.0435,0.00261,0.466,0.113,0.716,117.051,2019
Wait a Minute!,WILLOW,76,ARDIPITHECUS,86,0.764,0.705,-5.279,3,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,2019
"Spooky, Scary Skeletons",Andrew Gold,49,Halloween Howls: Fun & Scary Music,50,0.806,0.447,-10.181,7,0.0461,0.27,3.7e-06,0.335,0.914,77.033,2019
"Livin' in the Sunlight, Lovin' in the Moon Light",Tiny Tim,41,God Bless Tiny Tim,51,0.603,0.276,-19.238,4,0.0871,0.911,0.00237,0.484,0.86,99.561,2019
Tell Me Something I Don't Know - Soundtrack,Selena Gomez,80,Another Cinderella Story (Original Motion Picture Soundtrack),56,0.611,0.936,-3.697,7,0.11,0.0309,0.0,0.12,0.697,144.901,2019
STUPID (feat. Yung Baby Tate),Ashnikko,69,"Hi, It's Me",70,0.772,0.637,-6.881,2,0.114,0.00459,0.0,0.0778,0.54,149.906,2019
Beef FloMix,Flo Milli,67,Beef FloMix,53,0.857,0.575,-8.36,7,0.221,0.239,0.0,0.293,0.901,116.993,2019
Prom Queen,Beach Bunny,70,Prom Queen,80,0.528,0.797,-7.487,4,0.0485,0.000391,0.011,0.14,0.751,143.785,2019
Don't Lose Ur Head,SIX,61,Six: The Musical (Studio Cast Recording),66,0.859,0.605,-7.635,7,0.357,0.251,0.0,0.132,0.722,82.91,2019
"Legs (From ""RuPaul's Drag Race 8"")",Lucian Piane,32,"Legs (From ""RuPaul's Drag Race 8"")",44,0.9,0.72,-5.486,5,0.232,0.00502,6.26e-06,0.543,0.749,122.994,2019
Woah (feat. D3Mstreet),KRYPTO9095,39,Woah (feat. D3Mstreet),56,0.888,0.522,-8.936,1,0.43,0.00739,0.0,0.0452,0.623,144.011,2019
Steppin',Supa Dupa Humble,38,Steppin',55,0.85,0.58,-4.502,1,0.104,0.000404,0.0821,0.0714,0.12,160.055,2019
Hungry Hippo,Tierra Whack,58,Whack World,57,0.893,0.61,-5.691,4,0.0488,0.0227,0.00744,0.102,0.778,136.64,2019
I'm Sorry,Swell,47,Theres Still Us,0,0.944,0.541,-9.61,6,0.166,0.0879,0.000119,0.033,0.724,134.942,2019
Vibin',Kesh Kesh,27,Vibin',41,0.686,0.805,-6.816,11,0.154,0.00478,1.09e-06,0.0887,0.289,130.981,2019
Fly Me To The Moon (In Other Words),Frank Sinatra,74,Sinatra/Basie: The Complete Reprise Studio Recordings,71,0.668,0.26,-14.256,7,0.0523,0.453,0.0,0.0621,0.368,119.416,2019
Yellow Hearts,Ant Saunders,52,Yellow Hearts,0,0.866,0.399,-10.938,7,0.0745,0.117,0.0,0.0689,0.713,129.047,2019
Old Town Road,Lil Nas X,81,7 EP,76,0.907,0.53,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,2019
I Don't Mind (feat. Juicy J),Usher,78,I Don't Mind (feat. Juicy J),67,0.87,0.464,-8.337,4,0.178,0.205,0.0,0.0902,0.457,112.974,2019
ROXANNE,Arizona Zervas,66,ROXANNE,78,0.621,0.601,-5.616,6,0.148,0.0522,0.0,0.46,0.457,116.735,2019
American Boy,Estelle,65,Shine,78,0.727,0.729,-2.99,0,0.326,0.171,0.0,0.07,0.512,117.932,2019
Beggin (original version),Madcon,61,So Dark The Con Of Man,70,0.715,0.8,-5.144,4,0.057,0.0271,0.0,0.0648,0.445,129.023,2019
Put Your Head on My Shoulder,Paul Anka,59,Sings His Favorites,63,0.549,0.433,-8.526,7,0.0327,0.906,0.0108,0.0774,0.486,116.068,2019
prom dress,mxmtoon,67,the masquerade,73,0.56,0.674,-6.048,10,0.0446,0.698,0.0,0.123,0.421,119.942,2019
Criminal,Britney Spears,78,Femme Fatale (Deluxe Version),71,0.696,0.734,-5.294,7,0.0298,0.0485,0.0,0.183,0.711,107.987,2019
Runway,Stunna Girl,45,YKWTFGO,47,0.638,0.912,-3.3,1,0.474,0.0155,0.0,0.234,0.725,190.178,2019
It's The Hard-Knock Life,Quvenzhané Wallis,45,Annie (Original Motion Picture Soundtrack),53,0.738,0.841,-5.352,9,0.0924,0.0452,0.0105,0.03,0.836,163.913,2019
Faucet Failure,Ski Mask The Slump God,75,STOKELEY,75,0.935,0.552,-9.373,10,0.335,0.111,0.0,0.0952,0.615,99.993,2019
Buttercup,Jack Stauber,62,Pop Food,72,0.705,0.373,-9.066,7,0.0384,0.723,0.81,0.289,0.551,120.046,2019
Hey Julie! (feat. Lil Yachty),KYLE,65,Light of Mine (Deluxe),55,0.803,0.499,-5.932,11,0.306,0.0363,3.46e-06,0.129,0.749,161.042,2019
Uno,Ambjaay,41,Uno,56,0.978,0.477,-8.159,8,0.155,0.000143,0.0,0.133,0.196,110.002,2019
Tunnel of Love,ilyTOMMY,61,Tunnel of Love,58,0.683,0.636,-12.096,7,0.0978,0.302,0.498,0.0972,0.615,160.012,2019
Walk Man,Tiny Meat Gang,52,Walk Man,59,0.928,0.696,-4.972,4,0.0866,0.331,0.000119,0.121,0.396,94.994,2019
CRACKHEAD,iLOVEFRiDAY,42,CRACKHEAD,31,0.746,0.419,-9.083,5,0.478,0.0828,0.00457,0.561,0.421,145.059,2019
Fake ID,Riton,68,Foreign Ororo (Special Edition),63,0.746,0.862,-6.11,8,0.0776,0.21,0.0363,0.225,0.604,122.011,2019
Wasabi,Little Mix,77,LM5 (Deluxe),66,0.847,0.656,-4.976,2,0.115,0.00451,0.000854,0.143,0.234,114.001,2019
ALL IN,ZaeHD & CEO,37,HighDefGang Vol.1,44,0.895,0.394,-8.8,1,0.407,0.000686,0.0,0.239,0.491,141.008,2019
Lalala,Y2K,63,Lalala,75,0.843,0.39,-7.899,2,0.0846,0.178,0.0,0.137,0.495,129.972,2019
Womp Womp,Valee,46,Womp Womp,56,0.877,0.558,-4.896,1,0.342,0.066,0.0,0.0745,0.493,157.027,2019
Shop,Toby Fox,70,UNDERTALE Soundtrack,1,0.696,0.301,-12.647,8,0.032,0.984,0.624,0.17,0.848,154.929,2019
How You Feel? (Freestyle) (feat. Lil Yachty & Ski Mask The Slump God),DJ Scheme,62,Preseason EP,54,0.949,0.425,-7.393,5,0.224,0.0295,0.0,0.106,0.621,124.927,2019
Ghost Duet,Louie Zong,52,Ghost Duet,58,0.707,0.234,-16.523,7,0.0864,0.96,0.861,0.124,0.611,78.036,2019
Boys,Lizzo,81,Cuz I Love You (Deluxe),40,0.892,0.588,-4.287,1,0.11,0.00319,0.000162,0.0498,0.753,120.042,2019
Mia Khalifa,iLOVEFRiDAY,42,Mia Khalifa,60,0.812,0.525,-8.798,1,0.124,0.255,0.0,0.325,0.564,145.016,2019
Buff Baby,tobi lou,61,tobi lou and the Loop - EP,59,0.734,0.765,-6.047,5,0.0571,0.243,0.0,0.101,0.512,156.04,2019
Marlboro Nights,Lonely God,59,Marlboro Nights,75,0.466,0.823,-6.635,2,0.311,0.00237,0.000321,0.332,0.782,175.797,2019
Pumpkins scream in the dead of night,Savage Ga$p,59,Pumpkins scream in the dead of night,0,0.811,0.577,-5.997,1,0.439,0.14,0.0,0.0817,0.455,171.092,2019
Dissolve,Absofacto,56,Thousand Peaces,68,0.688,0.582,-10.668,6,0.0542,0.23,0.000157,0.0663,0.872,85.486,2019
Flamingo,Kero Kero Bonito,56,Flamingo,58,0.788,0.49,-6.287,8,0.511,0.313,0.0,0.0968,0.79,177.865,2019
Who R U,Jufu,31,Who R U,35,0.925,0.337,-13.445,1,0.41,0.0135,0.0,0.065,0.529,91.478,2019
Needs,Verzache,61,Needs,68,0.813,0.601,-7.552,11,0.116,0.189,0.0002,0.426,0.855,118.981,2019
Make You Mine,PUBLIC,61,Make You Mine,77,0.606,0.799,-4.452,9,0.0261,0.0128,0.0,0.15,0.638,103.014,2019
U Was At The Club (Bottoms Up),The Boyboy West Coast,32,U Was At The Club (Bottoms Up),50,0.845,0.791,-3.674,3,0.161,0.0186,0.107,0.0957,0.843,117.987,2019
"Go Loko (feat. Tyga, Jon Z)",YG,75,4REAL 4REAL,67,0.88,0.67,-5.177,2,0.0468,0.325,4.17e-06,0.0662,0.131,101.008,2019
Crush,Tessa Violet,56,Bad Ideas,0,0.912,0.401,-9.536,1,0.0856,0.03,0.000141,0.08,0.82,135.995,2019
Asshole,hooligan chase,43,Asshole,56,0.748,0.802,-6.271,5,0.113,0.595,0.000678,0.113,0.874,159.984,2019
Big And Chunky,will.i.am,72,Madagascar: Escape 2 Africa (Music From The Motion Picture),61,0.965,0.783,-6.898,6,0.098,0.141,0.000231,0.109,0.863,119.94,2019
Gm Say It Back,Killua the Pilgrim,16,Gm Say It Back,31,0.689,0.405,-12.525,8,0.171,0.733,4.8e-05,0.54,0.423,77.54,2019
Un Poco Loco,Anthony Gonzalez,55,Coco (Original Motion Picture Soundtrack),69,0.62,0.496,-7.509,7,0.133,0.597,1.36e-05,0.322,0.636,126.032,2019
Liar,BigKlit,38,Liar,50,0.883,0.492,-12.118,7,0.354,0.339,0.0,0.166,0.59,94.959,2019
Truth Hurts,Lizzo,81,Cuz I Love You (Deluxe),63,0.715,0.624,-3.046,4,0.114,0.11,0.0,0.123,0.412,158.087,2019
"Galactic Mermaid (From ""Carole & Tuesday"")",Kuraiinu,42,"Galactic Mermaid (From ""Carole & Tuesday"")",0,0.621,0.446,-4.653,7,0.0384,0.736,0.0,0.613,0.97,108.727,2019
"Jump Up, Super Star!",VGR,50,"Jump Up, Super Star!",52,0.619,0.858,-2.312,8,0.223,0.029,0.0,0.164,0.588,104.753,2019
It's You,Ali Gatie,70,YOU,79,0.732,0.463,-6.972,11,0.0287,0.374,0.0,0.194,0.397,95.971,2019
we fell in love in october,girl in red,75,we fell in love in october / forget her,82,0.566,0.366,-12.808,7,0.028,0.113,0.181,0.155,0.237,129.959,2019
Cash Shit (feat. DaBaby),Megan Thee Stallion,82,Fever,67,0.921,0.635,-4.904,1,0.416,0.0218,0.0,0.0946,0.549,130.028,2019
Gordon Ramsay,HL Wave,27,Gordon Ramsay,45,0.883,0.732,-7.133,10,0.343,0.0207,0.0,0.199,0.808,74.984,2019
Sunshine,Ant Beale,43,No Rain No Flowers,61,0.762,0.624,-6.299,3,0.0951,0.0942,0.0,0.115,0.488,149.95,2019
Smack a Bitch,Rico Nasty,67,Smack a Bitch,61,0.703,0.7,-2.417,2,0.221,0.0055,0.0,0.115,0.34,169.861,2019
