title,artist,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Million Dollar Baby,Tommy Richman,2024-06-08,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,spotify:track:5AJ9hqTS2wcFQCELCFRO7A
Tell Ur Girlfriend,Lay Bankz,2024-06-08,0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07,spotify:track:3lMzT16MjAKKXF7pSZn13B
U My Everything,Sexyy Red & Drake,2024-06-08,0.811,0.64,5,-5.63,0,0.274,0.0957,0.0,0.127,0.527,145.031,spotify:track:2MjXWroB9wlTG2kqv3avfS
Birds Of A Feather,Billie Eilish,2024-06-08,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,spotify:track:6dOtVTDdiauQNBQEDOtlAB
Not Like Us,Kendrick Lamar,2024-06-08,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,spotify:track:6AI3ezQ4o3HUoP6Dhudph3
Crazy,Stephen Kramer Glickman Featuring Marza Wilks,2024-06-08,0.363,0.231,0,-7.893,1,0.0358,0.947,0.000507,0.0987,0.153,81.912,spotify:track:4PhTvtwhgfkn9jlgPEBbue
Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",2024-06-08,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,spotify:track:28drn6tQo95MRvO0jQEo5C
BAND4BAND,Central Cee & Lil Baby,2024-06-08,0.882,0.764,11,-5.241,1,0.204,0.359,0.0,0.119,0.886,140.113,spotify:track:7iabz12vAuVQYyekFIWJxD
Si No Quieres No,Luis R Conriquez x Neton Vega,2024-06-08,0.786,0.786,4,-6.372,0,0.0512,0.445,2.12e-06,0.0947,0.611,100.123,spotify:track:1C84d9abZVKWHT2YYpoean
Gata Only,FloyyMenor X Cris Mj,2024-06-08,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,spotify:track:6XjDF6nds4DE2BBbagZol6
Nasty,Tinashe,2024-06-08,0.931,0.411,8,-8.433,1,0.0711,0.165,5.26e-06,0.134,0.515,100.002,spotify:track:6NjWCIYu1W8xa3HIvcIhd4
Fall Back,Lithe,2024-06-08,0.871,0.158,3,-10.889,0,0.102,0.648,0.0363,0.113,0.46,126.078,spotify:track:1aHy1ipWQRNauI0ee9uYfi
Scott Street (Slowed Down),Phoebe Bridgers,2024-06-08,0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,spotify:track:6Uwi2Qk3H7fM4b4W4ExrAp
A Bar Song (Tipsy),Shaboozey,2024-06-08,0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,spotify:track:2FQrifJ1N335Ljm3TjTVVf
Close,Cayo Featuring soser,2024-06-08,0.665,0.437,3,-10.602,0,0.259,0.00401,0.0,0.0726,0.66,130.17,spotify:track:3KjRNFs97uhUD2ssfU1coJ
Pink Skies,Zach Bryan,2024-06-08,0.525,0.488,0,-6.909,1,0.038,0.191,5.14e-05,0.135,0.253,84.999,spotify:track:4ZJ4vzLQekI0WntDbanNC7
Sky,Playboi Carti,2024-06-08,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,spotify:track:29TPjc8wxfz4XMn21O7VsZ
Lunch,Billie Eilish,2024-06-08,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,spotify:track:629DixmZGHc7ILtEntuiWE
Espresso,Sabrina Carpenter,2024-06-08,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,spotify:track:2qSkIjg1o9h3YT9RAgYN75
Fantasmas,Humbe,2024-06-08,0.344,0.384,0,-7.064,1,0.0317,0.629,0.000445,0.31,0.334,163.664,spotify:track:5rcnAHBclBs0OGV4rATEnR
I Like The Way You Kiss Me,Artemas,2024-06-08,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,spotify:track:2GxrNKugF82CnoRFbQfzPf
Lady Killers II (Christoph Andersson Remix),G-Eazy,2024-06-08,0.673,0.567,7,-10.334,0,0.0322,0.0344,0.00506,0.151,0.497,136.005,spotify:track:1xUddpWyEuYl5T3mduKnOJ
Talk My Shit,BossMan DLow,2024-06-08,0.614,0.463,1,-7.052,1,0.189,0.00923,0.0,0.263,0.252,112.789,spotify:track:6O3WfmAQIgnLBGVzZJVS40
Fried (She A Vibe),Future & Metro Boomin,2024-06-08,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,spotify:track:2tudvzsrR56uom6smgOcSf
Slut Me Out 2,NLE Choppa,2024-06-08,0.718,0.624,1,-6.666,1,0.235,0.0383,0.0,0.0547,0.456,127.929,spotify:track:22yRHdYBLZMi7xnvBioqkP
Half Return,Adrianne Lenker,2024-06-08,0.435,0.382,3,-11.75,1,0.0298,0.821,0.0327,0.117,0.668,143.866,spotify:track:1i8dJGpKO0xQiKGCVslJqB
Get It Sexyy,Sexyy Red,2024-06-08,0.814,0.632,5,-5.721,0,0.286,0.0931,1.68e-06,0.082,0.505,145.018,spotify:track:0mIdZEa3kU6btHfzbEibz4
Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",2024-06-08,0.708,0.657,0,-8.074,0,0.098,0.114,0.0,0.296,0.803,139.851,spotify:track:3hFnQwSt5zAWaYpLuMSWB7
Wash.,Bon Iver,2024-06-08,0.31,0.146,0,-19.278,1,0.0303,0.99,0.261,0.076,0.333,162.831,spotify:track:7rIhp6EWLNtM8qFIQruJPT
Pedro,"Jaxomy, Agatino Romero & Raffaella Carra",2024-06-08,0.788,0.936,9,-6.294,1,0.301,0.0229,1.3e-06,0.311,0.844,151.019,spotify:track:48lxT5qJF0yYyf2z4wB4xW
Wildflower,Billie Eilish,2024-06-08,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,spotify:track:3QaPy1KgI7nu9FJEQUgn6h
Blue,Billie Eilish,2024-06-08,0.349,0.337,7,-10.671,1,0.0407,0.29,0.172,0.139,0.0365,142.01,spotify:track:2prqm9sPLj10B4Wg0wE5x9
Okay,JT,2024-06-08,0.71,0.556,11,-6.443,1,0.188,0.00179,0.0,0.36,0.372,79.035,spotify:track:0e1KTuawmiFLiK0Lh3nNtM
Symphonia IX,Current Joys,2024-06-08,0.593,0.38,0,-12.682,1,0.0247,0.913,0.573,0.289,0.149,99.323,spotify:track:2V852FRIFO7mFgfiyDMum1
Take A Slice,Glass Animals,2024-06-08,0.623,0.661,9,-7.0,1,0.1,0.0212,0.000229,0.267,0.63,151.97,spotify:track:37adYGaYaAWTGhBaOzX4Fh
Freak Hoe,Speaker Knockerz,2024-06-08,0.794,0.871,11,-6.797,0,0.0632,0.1,0.0,0.384,0.729,89.997,spotify:track:6sghEq6gM4Ugadwa12H7Sa
Livin' My Best Life,Dylan Scott,2024-06-08,0.602,0.905,7,-3.68,1,0.0613,0.192,0.0,0.32,0.765,140.021,spotify:track:5UNzhuQS8ak02kW0EXsI24
End Of Beginning,Djo,2024-06-08,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,spotify:track:3qhlB30KknSejmIvZZLjOD
Porque Te Vas,Victor Cibrian X Gabito Ballesteros,2024-06-08,0.664,0.421,2,-6.653,0,0.0298,0.543,5.86e-06,0.104,0.674,143.234,spotify:track:0lpxDRCONr2FJRqcM3Q74z
Feather,Sabrina Carpenter,2024-06-08,0.791,0.694,6,-4.332,0,0.0335,0.0736,1.75e-06,0.0958,0.826,123.508,spotify:track:2Zo1PcszsT9WQ0ANntJbID
Space Song,Beach House,2024-06-08,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,spotify:track:7H0ya83CMmgFcOhw0UB6ow
I Bet On Losing Dogs,Mitski,2024-06-08,0.398,0.493,9,-9.561,1,0.0303,0.00347,0.000157,0.106,0.412,82.048,spotify:track:2Co0IjcLTSHMtodwD4gzfg
Dance You Outta My Head,Cat Janice,2024-06-08,0.751,0.712,2,-7.181,0,0.0548,0.0608,0.0,0.1,0.598,115.966,spotify:track:6NMqeF0Ssmi7d3dSUqnOFf
Like That!,Laila!,2024-06-08,0.533,0.567,4,-8.983,1,0.0755,0.244,0.0,0.132,0.16,120.062,spotify:track:28ZwgrsyIbpX4diz92ACnm
Scars,Novulent,2024-06-08,0.339,0.842,9,-4.65,1,0.048,0.00317,1.4e-05,0.107,0.144,83.942,spotify:track:016z46SJwcRosW9Xb8JKmF
Beautiful Things,Benson Boone,2024-06-08,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,spotify:track:6tNQ70jh4OwmPGpYy6R2o9
There's Your Trouble,The Chicks,2024-06-08,0.737,0.869,2,-5.433,1,0.0267,0.481,0.0,0.308,0.898,126.628,spotify:track:69m9WDPBvemwujQwdONslk
Poison Tree,Grouper,2024-06-08,0.224,0.139,11,-22.587,1,0.0354,0.961,0.913,0.108,0.213,111.316,spotify:track:6Q5uDNuuFYa8ToL3CCoHPC
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,2024-06-08,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,spotify:track:5rb9QrpfcKFHM1EUbSIurX
Laced Max,LAZER DIM 700,2024-06-08,0.77,0.515,11,-11.788,0,0.0804,0.0327,6.93e-06,0.162,0.084,99.968,spotify:track:2zZYe0VgBUAamZ9zTxzE4l
Million Dollar Baby,Tommy Richman,2024-06-01,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,spotify:track:5AJ9hqTS2wcFQCELCFRO7A
Not Like Us,Kendrick Lamar,2024-06-01,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,spotify:track:6AI3ezQ4o3HUoP6Dhudph3
Birds Of A Feather,Billie Eilish,2024-06-01,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,spotify:track:6dOtVTDdiauQNBQEDOtlAB
Tell Ur Girlfriend,Lay Bankz,2024-06-01,0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07,spotify:track:3lMzT16MjAKKXF7pSZn13B
Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",2024-06-01,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,spotify:track:28drn6tQo95MRvO0jQEo5C
A Bar Song (Tipsy),Shaboozey,2024-06-01,0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,spotify:track:2FQrifJ1N335Ljm3TjTVVf
Nasty,Tinashe,2024-06-01,0.931,0.411,8,-8.433,1,0.0711,0.165,5.26e-06,0.134,0.515,100.002,spotify:track:6NjWCIYu1W8xa3HIvcIhd4
Gata Only,FloyyMenor X Cris Mj,2024-06-01,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,spotify:track:6XjDF6nds4DE2BBbagZol6
Close,Cayo Featuring soser,2024-06-01,0.665,0.437,3,-10.602,0,0.259,0.00401,0.0,0.0726,0.66,130.17,spotify:track:3KjRNFs97uhUD2ssfU1coJ
Si No Quieres No,Luis R Conriquez x Neton Vega,2024-06-01,0.786,0.786,4,-6.372,0,0.0512,0.445,2.12e-06,0.0947,0.611,100.123,spotify:track:1C84d9abZVKWHT2YYpoean
Fall Back,Lithe,2024-06-01,0.871,0.158,3,-10.889,0,0.102,0.648,0.0363,0.113,0.46,126.078,spotify:track:1aHy1ipWQRNauI0ee9uYfi
Scott Street (Slowed Down),Phoebe Bridgers,2024-06-01,0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,spotify:track:6Uwi2Qk3H7fM4b4W4ExrAp
Lunch,Billie Eilish,2024-06-01,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,spotify:track:629DixmZGHc7ILtEntuiWE
Fried (She A Vibe),Future & Metro Boomin,2024-06-01,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,spotify:track:2tudvzsrR56uom6smgOcSf
Subwoofer Lullaby,C418,2024-06-01,0.329,0.0141,0,-23.72,1,0.0398,0.921,0.919,0.104,0.0387,74.011,spotify:track:1OJxI8lIWRqBvouJxW1nzN
Symphonia IX,Current Joys,2024-06-01,0.593,0.38,0,-12.682,1,0.0247,0.913,0.573,0.289,0.149,99.323,spotify:track:2V852FRIFO7mFgfiyDMum1
Espresso,Sabrina Carpenter,2024-06-01,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,spotify:track:2qSkIjg1o9h3YT9RAgYN75
So Silly (Remix),GloRilla,2024-06-01,0.919,0.629,1,-5.17,1,0.376,0.0226,0.0,0.146,0.407,135.05,spotify:track:7mOC6phfrfz3jfigg1aGsE
Blue,Billie Eilish,2024-06-01,0.349,0.337,7,-10.671,1,0.0407,0.29,0.172,0.139,0.0365,142.01,spotify:track:2prqm9sPLj10B4Wg0wE5x9
I Like The Way You Kiss Me,Artemas,2024-06-01,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,spotify:track:2GxrNKugF82CnoRFbQfzPf
Pedro,"Jaxomy, Agatino Romero & Raffaella Carra",2024-06-01,0.788,0.936,9,-6.294,1,0.301,0.0229,1.3e-06,0.311,0.844,151.019,spotify:track:48lxT5qJF0yYyf2z4wB4xW
Talk My Shit,BossMan DLow,2024-06-01,0.614,0.463,1,-7.052,1,0.189,0.00923,0.0,0.263,0.252,112.789,spotify:track:6O3WfmAQIgnLBGVzZJVS40
Lady Killers II (Christoph Andersson Remix),G-Eazy,2024-06-01,0.673,0.567,7,-10.334,0,0.0322,0.0344,0.00506,0.151,0.497,136.005,spotify:track:1xUddpWyEuYl5T3mduKnOJ
Get It Sexyy,Sexyy Red,2024-06-01,0.814,0.632,5,-5.721,0,0.286,0.0931,1.68e-06,0.082,0.505,145.018,spotify:track:0mIdZEa3kU6btHfzbEibz4
Slut Me Out 2,NLE Choppa,2024-06-01,0.718,0.624,1,-6.666,1,0.235,0.0383,0.0,0.0547,0.456,127.929,spotify:track:22yRHdYBLZMi7xnvBioqkP
Half Return,Adrianne Lenker,2024-06-01,0.435,0.382,3,-11.75,1,0.0298,0.821,0.0327,0.117,0.668,143.866,spotify:track:1i8dJGpKO0xQiKGCVslJqB
